mood,mood_description,recipe_title,ingredients,instructions,why_it_matches_mood
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Honey-Glazed Chicken Bites,"banana, onion, berries, herbs",Blend all components until smooth and serve fresh.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"quinoa, oats, tomato, garlic, spices, honey",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"olive oil, spinach, spices, herbs, berries, butter",Mix everything in a pot and simmer until tender and aromatic.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"spinach, rice, banana, milk, quinoa","Boil the base ingredient, add seasonings, and cook until done.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"oats, ginger, honey, banana, butter, spinach, lemon",Blend all components until smooth and serve fresh.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Bright Berry Yogurt Bowl,"spices, garlic, lemon, onion, herbs, pasta",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"milk, broth, oats, chicken breast, butter, olive oil",Mix everything in a pot and simmer until tender and aromatic.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"garlic, spices, butter, rice","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Bright Berry Yogurt Bowl,"lemon, olive oil, spinach, herbs, berries","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"quinoa, spices, ginger, rice, olive oil, onion",Mix everything in a pot and simmer until tender and aromatic.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"broth, pasta, milk, spinach, herbs, chicken breast, ginger",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"lemon, rice, spinach, carrot, ginger","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Honey-Glazed Chicken Bites,"tomato, pasta, butter, spices, olive oil",Blend all components until smooth and serve fresh.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Bright Berry Yogurt Bowl,"herbs, ginger, oats, olive oil, rice",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"quinoa, milk, honey, carrot, ginger","Boil the base ingredient, add seasonings, and cook until done.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"lemon, garlic, spices, honey, herbs","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"rice, lemon, chicken breast, olive oil, tomato",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Honey-Glazed Chicken Bites,"spices, tomato, lemon, spinach",Blend all components until smooth and serve fresh.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Lemon Herb Pasta,"olive oil, herbs, butter, spinach, broth",Blend all components until smooth and serve fresh.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Lemon Herb Pasta,"pasta, herbs, tomato, garlic","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"oats, spinach, rice, herbs, carrot",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Bright Berry Yogurt Bowl,"honey, carrot, onion, berries, garlic, olive oil, butter",Blend all components until smooth and serve fresh.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"herbs, olive oil, garlic, banana",Mix everything in a pot and simmer until tender and aromatic.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Lemon Herb Pasta,"butter, onion, banana, tomato, herbs","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Honey-Glazed Chicken Bites,"herbs, banana, garlic, rice",Blend all components until smooth and serve fresh.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"berries, rice, ginger, banana, carrot",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"banana, honey, berries, garlic, rice, quinoa, herbs",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"tomato, rice, pasta, oats, garlic, herbs, broth",Mix everything in a pot and simmer until tender and aromatic.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Slow-Cooked Lentil Stew,"herbs, ginger, milk, carrot, quinoa, rice, spinach",Mix everything in a pot and simmer until tender and aromatic.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Soft Banana Cinnamon Toast,"herbs, quinoa, berries, honey, rice","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Slow-Cooked Lentil Stew,"carrot, honey, spinach, lemon, oats, olive oil, rice","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"ginger, pasta, broth, berries, olive oil, tomato",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Slow-Cooked Lentil Stew,"honey, butter, carrot, milk, chicken breast, lemon","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"carrot, honey, onion, pasta, tomato, banana","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Soft Banana Cinnamon Toast,"pasta, butter, banana, ginger","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Creamy Oat Porridge,"oats, garlic, chicken breast, berries, herbs",Blend all components until smooth and serve fresh.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Slow-Cooked Lentil Stew,"banana, onion, broth, chicken breast, rice",Mix everything in a pot and simmer until tender and aromatic.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"milk, carrot, spinach, tomato, ginger, olive oil","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Creamy Oat Porridge,"garlic, berries, onion, pasta, milk, tomato, chicken breast",Mix everything in a pot and simmer until tender and aromatic.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"rice, lemon, broth, honey, ginger, olive oil, chicken breast","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"garlic, quinoa, ginger, butter, herbs, honey, milk","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Creamy Oat Porridge,"quinoa, oats, onion, broth","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"oats, olive oil, quinoa, lemon, honey",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"chicken breast, olive oil, broth, spices","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Slow-Cooked Lentil Stew,"olive oil, pasta, broth, ginger, tomato, berries",Blend all components until smooth and serve fresh.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"tomato, spices, chicken breast, onion, garlic, pasta",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Soft Banana Cinnamon Toast,"onion, chicken breast, ginger, rice",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"chicken breast, banana, quinoa, olive oil, rice, pasta, garlic",Blend all components until smooth and serve fresh.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Creamy Oat Porridge,"quinoa, herbs, butter, milk, carrot, spices, honey",Blend all components until smooth and serve fresh.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"broth, herbs, onion, lemon",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Soft Banana Cinnamon Toast,"onion, banana, olive oil, oats, quinoa, broth","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Creamy Oat Porridge,"carrot, pasta, garlic, rice, honey","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"lemon, spinach, spices, herbs, rice",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Soft Banana Cinnamon Toast,"pasta, ginger, milk, rice","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Slow-Cooked Lentil Stew,"butter, lemon, milk, quinoa, oats",Mix everything in a pot and simmer until tender and aromatic.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"spices, lemon, herbs, rice, oats, milk","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"milk, broth, lemon, spinach",Mix everything in a pot and simmer until tender and aromatic.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"ginger, garlic, tomato, spinach, pasta","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Creamy Oat Porridge,"onion, honey, spices, broth","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Soft Banana Cinnamon Toast,"broth, chicken breast, banana, milk",Mix everything in a pot and simmer until tender and aromatic.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"herbs, lemon, chicken breast, garlic, onion, honey",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"milk, ginger, spinach, pasta, herbs, chicken breast, banana",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"tomato, quinoa, onion, spices, herbs, berries",Mix everything in a pot and simmer until tender and aromatic.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Garlic Butter Mashed Potatoes,"honey, garlic, quinoa, banana, milk, oats","Chop ingredients, heat a pan, and cook until flavors blend well.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"milk, lemon, olive oil, pasta",Blend all components until smooth and serve fresh.,"Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Creamy Oat Porridge,"broth, olive oil, milk, oats, chicken breast, spices, spinach","Boil the base ingredient, add seasonings, and cook until done.","Warm, soft meals offer emotional reassurance."
sad,"Feeling low, emotionally drained, needing warmth or ease.",Warm Tomato Basil Soup,"milk, onion, lemon, pasta, garlic, spices, tomato",Combine ingredients in a bowl and stir until evenly coated.,"Warm, soft meals offer emotional reassurance."
stressed,Feeling overwhelmed and needing something calming.,Ginger Soothe Stir-Fry,"herbs, carrot, tomato, onion","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Mint Steam Veg Plate,"garlic, banana, broth, honey","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"garlic, broth, chicken breast, pasta",Blend all components until smooth and serve fresh.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"oats, rice, garlic, onion, herbs","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Mint Steam Veg Plate,"butter, onion, spices, milk, herbs",Blend all components until smooth and serve fresh.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"lemon, oats, carrot, banana","Boil the base ingredient, add seasonings, and cook until done.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Warm Apple Oat Crisp,"herbs, onion, milk, garlic, pasta","Boil the base ingredient, add seasonings, and cook until done.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"berries, milk, honey, onion, ginger, garlic",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"milk, oats, ginger, honey, lemon, banana, rice","Boil the base ingredient, add seasonings, and cook until done.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Mint Steam Veg Plate,"garlic, quinoa, honey, lemon, berries","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"butter, spinach, lemon, oats",Mix everything in a pot and simmer until tender and aromatic.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"ginger, carrot, tomato, milk","Boil the base ingredient, add seasonings, and cook until done.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Warm Apple Oat Crisp,"tomato, olive oil, rice, ginger",Mix everything in a pot and simmer until tender and aromatic.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"butter, ginger, broth, oats, pasta, quinoa","Boil the base ingredient, add seasonings, and cook until done.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Ginger Soothe Stir-Fry,"olive oil, honey, berries, oats, herbs, spinach, milk","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Warm Apple Oat Crisp,"oats, spinach, honey, quinoa","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"ginger, oats, pasta, honey, spices","Boil the base ingredient, add seasonings, and cook until done.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"butter, lemon, berries, banana, oats, carrot, honey",Blend all components until smooth and serve fresh.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Mint Steam Veg Plate,"garlic, tomato, lemon, pasta, butter, oats",Mix everything in a pot and simmer until tender and aromatic.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"broth, ginger, berries, banana, carrot, garlic, olive oil",Mix everything in a pot and simmer until tender and aromatic.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"tomato, banana, pasta, spices, broth, ginger, herbs",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"honey, chicken breast, onion, spices","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Warm Apple Oat Crisp,"broth, garlic, butter, rice, pasta",Mix everything in a pot and simmer until tender and aromatic.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Warm Apple Oat Crisp,"milk, berries, oats, spices, herbs",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Ginger Soothe Stir-Fry,"butter, herbs, garlic, carrot, milk, onion, pasta",Blend all components until smooth and serve fresh.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Ginger Soothe Stir-Fry,"garlic, lemon, olive oil, banana","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"tomato, rice, garlic, milk, carrot",Mix everything in a pot and simmer until tender and aromatic.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"banana, olive oil, oats, spinach, spices","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Mint Steam Veg Plate,"quinoa, chicken breast, rice, pasta, banana",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Ginger Soothe Stir-Fry,"ginger, broth, olive oil, honey, tomato",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"olive oil, garlic, milk, quinoa, broth, spices, butter","Boil the base ingredient, add seasonings, and cook until done.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Ginger Soothe Stir-Fry,"lemon, butter, tomato, broth, chicken breast, pasta, honey",Mix everything in a pot and simmer until tender and aromatic.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Warm Apple Oat Crisp,"spices, butter, olive oil, onion, banana",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"tomato, herbs, lemon, berries, banana",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"spinach, spices, lemon, tomato","Chop ingredients, heat a pan, and cook until flavors blend well.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Ginger Soothe Stir-Fry,"lemon, pasta, chicken breast, carrot, rice",Blend all components until smooth and serve fresh.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Chamomile Rice Bowl,"quinoa, broth, berries, olive oil, pasta","Boil the base ingredient, add seasonings, and cook until done.",Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Warm Apple Oat Crisp,"garlic, honey, milk, oats",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Simple Veggie Broth Noodles,"spices, herbs, pasta, onion",Combine ingredients in a bowl and stir until evenly coated.,Calming herbs reduce tension and help unwind.
stressed,Feeling overwhelmed and needing something calming.,Ginger Soothe Stir-Fry,"spices, oats, honey, tomato",Mix everything in a pot and simmer until tender and aromatic.,Calming herbs reduce tension and help unwind.
angry,Feeling tense and needing grounding flavors.,Hearty Root Veg Bake,"berries, ginger, pasta, butter, olive oil",Combine ingredients in a bowl and stir until evenly coated.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Thyme Infused Stew,"spinach, broth, berries, quinoa","Chop ingredients, heat a pan, and cook until flavors blend well.","Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Savory Herb Chicken,"spinach, oats, quinoa, honey",Combine ingredients in a bowl and stir until evenly coated.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Thyme Infused Stew,"spices, butter, quinoa, oats, honey, onion","Chop ingredients, heat a pan, and cook until flavors blend well.","Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Hearty Root Veg Bake,"spinach, butter, pasta, garlic, banana",Mix everything in a pot and simmer until tender and aromatic.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Thyme Infused Stew,"spinach, onion, tomato, milk",Combine ingredients in a bowl and stir until evenly coated.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Toasted Barley Bowl,"herbs, spices, broth, spinach, rice",Blend all components until smooth and serve fresh.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Thyme Infused Stew,"herbs, carrot, garlic, butter, rice, ginger, onion",Mix everything in a pot and simmer until tender and aromatic.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Savory Herb Chicken,"herbs, carrot, honey, rice","Boil the base ingredient, add seasonings, and cook until done.","Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Thyme Infused Stew,"onion, quinoa, milk, garlic, chicken breast","Chop ingredients, heat a pan, and cook until flavors blend well.","Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Toasted Barley Bowl,"tomato, broth, onion, ginger, banana",Combine ingredients in a bowl and stir until evenly coated.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Toasted Barley Bowl,"chicken breast, pasta, lemon, garlic",Blend all components until smooth and serve fresh.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Hearty Root Veg Bake,"pasta, banana, carrot, herbs, onion, tomato","Boil the base ingredient, add seasonings, and cook until done.","Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Savory Herb Chicken,"berries, tomato, butter, spinach, rice",Combine ingredients in a bowl and stir until evenly coated.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Savory Herb Chicken,"garlic, spinach, butter, tomato, carrot, lemon","Boil the base ingredient, add seasonings, and cook until done.","Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Hearty Root Veg Bake,"spices, lemon, olive oil, rice, onion","Boil the base ingredient, add seasonings, and cook until done.","Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Grounding Mushroom Risotto,"broth, spices, lemon, ginger, tomato, honey, quinoa",Blend all components until smooth and serve fresh.,"Earthy, grounding dishes help stabilize emotions."
angry,Feeling tense and needing grounding flavors.,Toasted Barley Bowl,"olive oil, lemon, onion, berries, oats",Blend all components until smooth and serve fresh.,"Earthy, grounding dishes help stabilize emotions."
